일자,계(명),국내발생(명),해외유입(명),사망(명),0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상,남성(명),여성(명),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
누적(명),"639,083 ","621,488 ","17,595 ","5,694 ","50,345 ","63,989 ","95,429 ","92,929 ","93,405 ","92,648 ","90,880 ","38,763 ","20,695 ","332,264 ","306,819 ","227,879 ","25,503 ","23,335 ","37,195 ","8,211 ","12,374 ","6,981 ","2,170 ","189,031 ","12,523 ","11,652 ","18,334 ","9,732 ","6,168 ","15,525 ","20,981 ","4,680 ","6,809 "
2020-01-20,1 ,-,1 ,-,-,-,-,1 ,-,-,-,-,-,-,1 ,-,-,-,1 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-21,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-22,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-23,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-24,1 ,-,1 ,-,-,-,-,-,-,1 ,-,-,-,1 ,-,1 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-25,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-26,1 ,-,1 ,-,-,-,-,-,-,1 ,-,-,-,1 ,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-01-27,1 ,-,1 ,-,-,-,-,-,-,1 ,-,-,-,1 ,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-01-28,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-29,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-30,3 ,1 ,2 ,-,-,-,1 ,1 ,-,1 ,-,-,-,3 ,-,3 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-31,4 ,3 ,1 ,-,-,-,2 ,-,-,1 ,1 ,-,-,1 ,3 ,3 ,-,-,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-
2020-02-01,1 ,-,1 ,-,-,-,-,-,1 ,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-02-02,3 ,1 ,2 ,-,-,-,1 ,-,2 ,-,-,-,-,2 ,1 ,1 ,-,-,-,-,-,-,-,2 ,-,-,-,-,-,-,-,-,-
2020-02-03,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-04,1 ,-,1 ,-,-,-,-,-,1 ,-,-,-,-,-,1 ,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-05,5 ,3 ,2 ,-,-,-,1 ,2 ,1 ,1 ,-,-,-,2 ,3 ,2 ,-,-,-,1 ,-,-,-,2 ,-,-,-,-,-,-,-,-,-
2020-02-06,3 ,1 ,2 ,-,-,-,1 ,-,1 ,1 ,-,-,-,2 ,1 ,2 ,-,-,-,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-
2020-02-07,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-08,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-09,3 ,1 ,2 ,-,-,-,-,1 ,-,1 ,-,1 ,-,1 ,2 ,-,-,-,-,-,-,-,-,3 ,-,-,-,-,-,-,-,-,-
2020-02-10,1 ,1 ,-,-,-,-,-,1 ,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-02-11,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-12,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-13,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-14,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-15,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-16,2 ,2 ,-,-,-,-,-,-,-,-,1 ,-,1 ,1 ,1 ,2 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-17,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-18,2 ,2 ,-,-,-,1 ,-,-,-,-,1 ,-,-,-,2 ,-,-,1 ,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-02-19,34 ,34 ,-,-,-,-,8 ,3 ,4 ,11 ,4 ,4 ,-,13 ,21 ,2 ,-,27 ,-,-,-,-,-,-,-,-,-,-,-,5 ,-,-,-
2020-02-20,16 ,16 ,-,1,-,1 ,4 ,3 ,2 ,4 ,2 ,-,-,5 ,11 ,-,-,12 ,-,-,-,-,-,-,-,-,-,-,-,4 ,-,-,-
2020-02-21,74 ,74 ,-,-,-,1 ,16 ,7 ,17 ,16 ,10 ,6 ,1 ,34 ,40 ,5 ,-,44 ,-,1 ,-,-,-,1 ,-,1 ,1 ,1 ,-,17 ,2 ,1 ,-
2020-02-22,190 ,190 ,-,2,-,5 ,24 ,19 ,28 ,59 ,47 ,7 ,1 ,95 ,95 ,2 ,2 ,67 ,-,3 ,1 ,-,1 ,2 ,-,2 ,-,1 ,-,106 ,2 ,1 ,-
2020-02-23,210 ,209 ,1 ,-,1 ,4 ,53 ,21 ,37 ,51 ,30 ,10 ,3 ,69 ,141 ,3 ,7 ,136 ,1 ,1 ,1 ,1 ,-,8 ,6 ,-,-,-,-,39 ,7 ,-,-
2020-02-24,207 ,206 ,1 ,4,1 ,6 ,46 ,34 ,32 ,49 ,28 ,9 ,2 ,69 ,138 ,4 ,8 ,152 ,-,2 ,1 ,-,-,12 ,-,-,-,-,-,19 ,9 ,-,-
2020-02-25,130 ,129 ,1 ,1,-,6 ,38 ,19 ,20 ,26 ,17 ,3 ,1 ,43 ,87 ,7 ,18 ,54 ,-,-,-,1 ,-,5 ,-,-,-,-,-,44 ,1 ,-,-
2020-02-26,253 ,252 ,1 ,3,1 ,7 ,78 ,32 ,32 ,43 ,43 ,12 ,5 ,94 ,159 ,8 ,13 ,184 ,1 ,-,-,1 ,-,3 ,-,2 ,1 ,-,-,36 ,4 ,-,-
2020-02-27,449 ,447 ,2 ,1,6 ,20 ,167 ,49 ,59 ,80 ,42 ,21 ,5 ,176 ,273 ,10 ,8 ,340 ,-,-,5 ,3 ,-,12 ,-,2 ,5 ,-,-,53 ,11 ,-,-
2020-02-28,427 ,427 ,-,1,4 ,24 ,114 ,59 ,66 ,87 ,44 ,19 ,10 ,156 ,271 ,7 ,5 ,296 ,1 ,-,4 ,5 ,-,11 ,-,3 ,9 ,2 ,-,74 ,10 ,-,-
2020-02-29,909 ,909 ,-,3,6 ,24 ,302 ,108 ,134 ,149 ,120 ,41 ,25 ,324 ,585 ,12 ,14 ,742 ,2 ,-,1 ,6 ,-,10 ,1 ,-,32 ,-,1 ,75 ,13 ,-,-
2020-03-01,595 ,593 ,2 ,1,7 ,42 ,200 ,66 ,81 ,103 ,63 ,24 ,9 ,236 ,359 ,8 ,4 ,512 ,-,-,-,-,-,8 ,-,1 ,12 ,-,1 ,48 ,1 ,-,-
2020-03-02,686 ,684 ,2 ,6,5 ,29 ,181 ,82 ,113 ,146 ,82 ,33 ,15 ,262 ,424 ,9 ,6 ,517 ,1 ,-,1 ,3 ,-,8 ,12 ,-,17 ,1 ,1 ,108 ,2 ,-,-
2020-03-03,600 ,599 ,1 ,5,3 ,37 ,179 ,73 ,81 ,118 ,65 ,32 ,12 ,219 ,381 ,7 ,2 ,520 ,-,2 ,-,-,-,2 ,1 ,-,4 ,1 ,-,59 ,1 ,1 ,-
2020-03-04,516 ,516 ,-,4,-,29 ,158 ,53 ,79 ,100 ,47 ,35 ,15 ,186 ,330 ,-,3 ,398 ,1 ,2 ,1 ,3 ,-,9 ,1 ,-,1 ,-,-,95 ,2 ,-,-
2020-03-05,438 ,437 ,1 ,3,4 ,25 ,154 ,27 ,54 ,74 ,53 ,30 ,17 ,153 ,285 ,5 ,-,326 ,1 ,-,1 ,-,-,7 ,2 ,1 ,4 ,-,-,81 ,9 ,1 ,-
2020-03-06,518 ,518 ,-,7,7 ,35 ,148 ,33 ,43 ,89 ,65 ,54 ,44 ,197 ,321 ,2 ,3 ,367 ,-,-,2 ,-,-,10 ,2 ,3 ,4 ,-,-,122 ,3 ,-,-
2020-03-07,483 ,483 ,-,2,7 ,34 ,154 ,33 ,54 ,70 ,65 ,43 ,23 ,176 ,307 ,3 ,1 ,390 ,-,-,-,-,1 ,10 ,1 ,5 ,2 ,-,-,65 ,5 ,-,-
2020-03-08,367 ,366 ,1 ,6,6 ,33 ,103 ,32 ,34 ,64 ,48 ,26 ,21 ,172 ,195 ,12 ,1 ,297 ,-,-,-,1 ,1 ,11 ,1 ,4 ,6 ,-,-,32 ,1 ,-,-
2020-03-09,248 ,247 ,1 ,1,8 ,18 ,60 ,18 ,30 ,42 ,38 ,29 ,5 ,103 ,145 ,10 ,-,190 ,-,2 ,-,-,3 ,12 ,1 ,1 ,4 ,-,-,25 ,-,-,-
2020-03-10,131 ,131 ,-,3,1 ,12 ,21 ,11 ,25 ,26 ,13 ,16 ,6 ,53 ,78 ,11 ,-,92 ,4 ,-,-,-,2 ,10 ,-,-,2 ,-,-,10 ,-,-,-
2020-03-11,242 ,239 ,3 ,6,8 ,12 ,25 ,15 ,52 ,56 ,31 ,29 ,14 ,95 ,147 ,53 ,2 ,131 ,12 ,-,-,1 ,2 ,11 ,1 ,2 ,8 ,-,-,18 ,1 ,-,-
2020-03-12,114 ,112 ,2 ,6,1 ,7 ,21 ,8 ,18 ,25 ,12 ,14 ,8 ,47 ,67 ,19 ,2 ,72 ,-,-,2 ,-,5 ,3 ,-,-,2 ,-,-,8 ,1 ,-,-
2020-03-13,110 ,107 ,3 ,1,1 ,9 ,13 ,12 ,16 ,28 ,13 ,9 ,9 ,50 ,60 ,12 ,1 ,61 ,2 ,-,2 ,2 ,17 ,8 ,-,-,1 ,-,-,4 ,-,-,-
2020-03-14,107 ,102 ,5 ,5,4 ,3 ,15 ,10 ,16 ,27 ,15 ,9 ,8 ,57 ,50 ,13 ,3 ,62 ,1 ,-,-,-,6 ,15 ,-,1 ,-,-,-,6 ,-,-,-
2020-03-15,76 ,72 ,4 ,3,2 ,3 ,12 ,9 ,9 ,17 ,12 ,10 ,2 ,35 ,41 ,9 ,3 ,41 ,1 ,1 ,-,1 ,1 ,11 ,-,3 ,-,-,-,4 ,-,-,1
2020-03-16,74 ,70 ,4 ,-,2 ,5 ,13 ,7 ,6 ,17 ,12 ,5 ,7 ,33 ,41 ,6 ,1 ,35 ,1 ,-,-,-,1 ,20 ,-,-,-,-,-,7 ,-,-,3
2020-03-17,84 ,79 ,5 ,6,1 ,4 ,17 ,7 ,17 ,16 ,10 ,8 ,4 ,31 ,53 ,12 ,-,32 ,1 ,-,-,-,-,31 ,-,-,-,-,-,5 ,1 ,-,2
2020-03-18,93 ,80 ,13 ,3,1 ,2 ,12 ,17 ,7 ,14 ,25 ,3 ,12 ,40 ,53 ,5 ,-,46 ,1 ,1 ,-,2 ,1 ,15 ,1 ,1 ,3 ,2 ,1 ,9 ,-,-,5
2020-03-19,152 ,135 ,17 ,7,5 ,5 ,16 ,13 ,10 ,27 ,21 ,20 ,35 ,57 ,95 ,12 ,-,97 ,-,-,-,6 ,-,18 ,-,1 ,-,1 ,-,12 ,-,-,5
2020-03-20,87 ,73 ,14 ,3,6 ,8 ,7 ,7 ,12 ,14 ,19 ,6 ,8 ,33 ,54 ,17 ,1 ,34 ,4 ,1 ,-,-,-,14 ,-,-,1 ,-,-,13 ,1 ,-,1
2020-03-21,147 ,126 ,21 ,8,1 ,6 ,15 ,7 ,10 ,16 ,19 ,21 ,52 ,57 ,90 ,15 ,-,69 ,4 ,-,-,-,-,12 ,-,1 ,-,-,-,40 ,-,-,6
2020-03-22,98 ,77 ,21 ,2,2 ,3 ,16 ,9 ,19 ,19 ,13 ,6 ,11 ,43 ,55 ,10 ,-,43 ,-,1 ,2 ,-,-,16 ,-,1 ,1 ,-,1 ,11 ,1 ,-,11
